tag,MSE,R2,xg_boost__n_estimators,xg_boost__learning_rate,xg_boost__max_depth,xg_boost__min_child_weight,xg_boost__gamma,xg_boost__subsample,xg_boost__colsample_bytree,xg_boost__reg_lambda,xg_boost__reg_alpha
xg_boost,117.4142067234614,0.8968094564978302,300,0.01,6,1,0.0,1.0,0.66,0.1,0.0
xg_boost,117.12837834095626,0.8970606593715038,300,0.01,6,1,0.0,1.0,0.66,0.1,0.1
xg_boost,117.4240735315262,0.8968007849638203,300,0.01,6,1,0.0,1.0,0.66,0.1,1.0
xg_boost,117.65556988420958,0.8965973322887242,300,0.01,6,1,0.0,1.0,0.66,0.1,10.0
xg_boost,118.07626810546644,0.8962275978305753,300,0.01,6,1,0.0,1.0,0.66,1.0,0.0
xg_boost,118.28736123798204,0.8960420767110981,300,0.01,6,1,0.0,1.0,0.66,1.0,0.1
xg_boost,118.50084821012142,0.8958544517438948,300,0.01,6,1,0.0,1.0,0.66,1.0,1.0
xg_boost,118.27794375380778,0.89605035335272,300,0.01,6,1,0.0,1.0,0.66,1.0,10.0
xg_boost,122.13219952564472,0.8926630056118374,300,0.01,6,1,0.0,1.0,0.66,10.0,0.0
xg_boost,121.92423347092884,0.8928457784705485,300,0.01,6,1,0.0,1.0,0.66,10.0,0.1
xg_boost,122.06398380617271,0.8927229576173412,300,0.01,6,1,0.0,1.0,0.66,10.0,1.0
xg_boost,122.45788117953084,0.8923767773281311,300,0.01,6,1,0.0,1.0,0.66,10.0,10.0
xg_boost,115.83951490210129,0.8981933887274051,300,0.01,6,1,0.0,1.0,1.0,0.01,0.0
xg_boost,116.18323063234388,0.8978913110316666,300,0.01,6,1,0.0,1.0,1.0,0.01,0.1
xg_boost,116.47400484219342,0.8976357614726472,300,0.01,6,1,0.0,1.0,1.0,0.01,1.0
xg_boost,117.01742803587548,0.8971581690562559,300,0.01,6,1,0.0,1.0,1.0,0.01,10.0
xg_boost,116.11700618432408,0.8979495129901434,300,0.01,6,1,0.0,1.0,1.0,0.1,0.0
xg_boost,116.4421661270139,0.897663743217067,300,0.01,6,1,0.0,1.0,1.0,0.1,0.1
xg_boost,116.66595375715168,0.8974670654228937,300,0.01,6,1,0.0,1.0,1.0,0.1,1.0
xg_boost,117.0784407916011,0.897104547440954,300,0.01,6,1,0.0,1.0,1.0,0.1,10.0
xg_boost,117.7208877064804,0.8965399271265331,300,0.01,6,1,0.0,1.0,1.0,1.0,0.0
xg_boost,117.8376473133023,0.8964373118841082,300,0.01,6,1,0.0,1.0,1.0,1.0,0.1
xg_boost,117.75434661307828,0.8965105214621492,300,0.01,6,1,0.0,1.0,1.0,1.0,1.0
xg_boost,118.04453616148268,0.8962554857381585,300,0.01,6,1,0.0,1.0,1.0,1.0,10.0
xg_boost,119.43166035298064,0.8950363990260811,300,0.01,6,1,0.0,1.0,1.0,10.0,0.0
xg_boost,119.31223809373286,0.8951413543648082,300,0.01,6,1,0.0,1.0,1.0,10.0,0.1
xg_boost,119.40222652378397,0.8950622672145816,300,0.01,6,1,0.0,1.0,1.0,10.0,1.0
xg_boost,119.53680750518774,0.8949439894950137,300,0.01,6,1,0.0,1.0,1.0,10.0,10.0
xg_boost,118.45573323679962,0.8958941014485351,300,0.01,6,1,0.5,0.66,0.66,0.01,0.0
xg_boost,118.40825972195364,0.8959358239788456,300,0.01,6,1,0.5,0.66,0.66,0.01,0.1
xg_boost,118.64781064352692,0.8957252924726216,300,0.01,6,1,0.5,0.66,0.66,0.01,1.0
xg_boost,119.06814997572178,0.895355873427389,300,0.01,6,1,0.5,0.66,0.66,0.01,10.0
xg_boost,118.73790786152756,0.8956461097131161,300,0.01,6,1,0.5,0.66,0.66,0.1,0.0
xg_boost,119.06995368627004,0.8953542882199683,300,0.01,6,1,0.5,0.66,0.66,0.1,0.1
xg_boost,119.02792258234042,0.8953912276379444,300,0.01,6,1,0.5,0.66,0.66,0.1,1.0
xg_boost,118.9258811150206,0.8954809077096013,300,0.01,6,1,0.5,0.66,0.66,0.1,10.0
xg_boost,119.54980394610456,0.8949325674547068,300,0.01,6,1,0.5,0.66,0.66,1.0,0.0
xg_boost,119.26609799267771,0.8951819050122809,300,0.01,6,1,0.5,0.66,0.66,1.0,0.1
xg_boost,119.4832288361854,0.8949910775955832,300,0.01,6,1,0.5,0.66,0.66,1.0,1.0
xg_boost,119.86167252379428,0.8946584789186505,300,0.01,6,1,0.5,0.66,0.66,1.0,10.0
xg_boost,123.85534576525644,0.8911486028665373,300,0.01,6,1,0.5,0.66,0.66,10.0,0.0
xg_boost,123.7790571029146,0.8912156498513084,300,0.01,6,1,0.5,0.66,0.66,10.0,0.1
xg_boost,123.991391246221,0.8910290380582103,300,0.01,6,1,0.5,0.66,0.66,10.0,1.0
xg_boost,124.34610487115307,0.8907172947626943,300,0.01,6,1,0.5,0.66,0.66,10.0,10.0
xg_boost,117.32670383612763,0.8968863592062327,300,0.01,6,1,0.5,0.66,1.0,0.01,0.0
xg_boost,117.2411699673828,0.8969615314247396,300,0.01,6,1,0.5,0.66,1.0,0.01,0.1
xg_boost,117.25844466954612,0.8969463493956239,300,0.01,6,1,0.5,0.66,1.0,0.01,1.0
xg_boost,117.22691163635402,0.8969740624886487,300,0.01,6,1,0.5,0.66,1.0,0.1,0.0
xg_boost,117.38504009947688,0.8968350898505996,300,0.01,6,1,0.5,0.66,1.0,0.1,0.1
xg_boost,117.00354504298456,0.8971703702508287,300,0.01,6,1,0.5,0.66,1.0,0.1,1.0
xg_boost,117.51004980436306,0.8967252239344533,300,0.01,6,1,0.5,0.66,1.0,1.0,0.0
xg_boost,117.39904251509672,0.8968227837002751,300,0.01,6,1,0.5,0.66,1.0,1.0,0.1
xg_boost,117.43777999121416,0.8967887389170585,300,0.01,6,1,0.5,0.66,1.0,1.0,1.0
xg_boost,116.92563650586494,0.8972388408772817,300,0.01,6,1,0.5,1.0,0.66,0.01,0.0
xg_boost,117.1876578796906,0.897008561009719,300,0.01,6,1,0.5,1.0,0.66,0.01,0.1
xg_boost,117.11893007692775,0.8970689630642805,300,0.01,6,1,0.5,1.0,0.66,0.01,1.0
xg_boost,117.41385394071904,0.8968097665441519,300,0.01,6,1,0.5,1.0,0.66,0.1,0.0
xg_boost,117.2128641508968,0.8969864082490095,300,0.01,6,1,0.5,1.0,0.66,0.1,0.1
xg_boost,117.42407572971996,0.8968007830319177,300,0.01,6,1,0.5,1.0,0.66,0.1,1.0
xg_boost,118.07644402174998,0.8962274432249494,300,0.01,6,1,0.5,1.0,0.66,1.0,0.0
xg_boost,117.81253026501284,0.8964593862304457,300,0.01,6,1,0.5,1.0,0.66,1.0,0.1
xg_boost,118.29204409083624,0.8960379611432749,300,0.01,6,1,0.5,1.0,0.66,1.0,1.0
xg_boost,116.16275293067363,0.8979093080460313,300,0.01,6,1,0.5,1.0,1.0,0.01,0.0
xg_boost,116.4521922034384,0.8976549317086107,300,0.01,6,1,0.5,1.0,1.0,0.01,0.1
xg_boost,116.15956074151217,0.8979121135305099,300,0.01,6,1,0.5,1.0,1.0,0.01,1.0
xg_boost,116.669806473672,0.897463679427938,300,0.01,6,1,0.5,1.0,1.0,0.1,0.0
xg_boost,116.4421791952512,0.8976637317319278,300,0.01,6,1,0.5,1.0,1.0,0.1,0.1
xg_boost,116.43772690106512,0.8976676446711684,300,0.01,6,1,0.5,1.0,1.0,0.1,1.0
xg_boost,117.72070128644292,0.8965400909634786,300,0.01,6,1,0.5,1.0,1.0,1.0,0.0
xg_boost,117.83764618404066,0.8964373128765701,300,0.01,6,1,0.5,1.0,1.0,1.0,0.1
xg_boost,118.02810447975968,0.8962699268710926,300,0.01,6,1,0.5,1.0,1.0,1.0,1.0
xg_boost,117.80281397227638,0.8964679254826903,300,0.01,6,3,0.0,0.66,0.66,0.01,0.0
xg_boost,118.11194480506676,0.8961962430386394,300,0.01,6,3,0.0,0.66,0.66,0.01,0.1
xg_boost,117.9926661895563,0.8963010721347615,300,0.01,6,3,0.0,0.66,0.66,0.01,1.0
xg_boost,118.08932673786768,0.8962161211327166,300,0.01,6,3,0.0,0.66,0.66,0.1,0.0
xg_boost,118.29442490451557,0.8960358687435186,300,0.01,6,3,0.0,0.66,0.66,0.1,0.1
xg_boost,117.97424632719972,0.8963172605983287,300,0.01,6,3,0.0,0.66,0.66,0.1,1.0
xg_boost,118.75136705048988,0.8956342809824805,300,0.01,6,3,0.0,0.66,0.66,1.0,0.0
xg_boost,118.8761437207982,0.8955246198708926,300,0.01,6,3,0.0,0.66,0.66,1.0,0.1
xg_boost,118.79800690471104,0.8955932911223925,300,0.01,6,3,0.0,0.66,0.66,1.0,1.0
xg_boost,116.00036139580536,0.8980520273234581,300,0.01,6,3,0.0,0.66,1.0,0.01,0.0
xg_boost,116.24244447767836,0.8978392704051238,300,0.01,6,3,0.0,0.66,1.0,0.01,0.1
xg_boost,116.09250461732807,0.897971046415148,300,0.01,6,3,0.0,0.66,1.0,0.01,1.0
xg_boost,116.35285355164656,0.8977422363862577,300,0.01,6,3,0.0,0.66,1.0,0.1,0.0
xg_boost,116.38354506528836,0.8977152628703435,300,0.01,6,3,0.0,0.66,1.0,0.1,0.1
xg_boost,116.18343835702282,0.8978911284709432,300,0.01,6,3,0.0,0.66,1.0,0.1,1.0
xg_boost,116.72584493889774,0.8974144295130849,300,0.01,6,3,0.0,0.66,1.0,1.0,0.0
xg_boost,116.31041103054616,0.8977795373819564,300,0.01,6,3,0.0,0.66,1.0,1.0,0.1
xg_boost,116.62762652622888,0.8975007496583898,300,0.01,6,3,0.0,0.66,1.0,1.0,1.0
xg_boost,117.29244840503728,0.8969164649034116,300,0.01,6,3,0.0,1.0,0.66,0.01,0.0
xg_boost,117.29280970347016,0.8969161473729977,300,0.01,6,3,0.0,1.0,0.66,0.01,0.1
xg_boost,117.3408853836399,0.8968738956242155,300,0.01,6,3,0.0,1.0,0.66,0.01,1.0
xg_boost,117.47207920125722,0.8967585947443488,300,0.01,6,3,0.0,1.0,0.66,0.1,0.0
xg_boost,117.42239640894184,0.8968022589182576,300,0.01,6,3,0.0,1.0,0.66,0.1,0.1
xg_boost,117.10513207179504,0.897081089566589,300,0.01,6,3,0.0,1.0,0.66,0.1,1.0
xg_boost,117.88202828480716,0.8963983072636408,300,0.01,6,3,0.0,1.0,0.66,1.0,0.0
xg_boost,117.97994099251063,0.8963122557899252,300,0.01,6,3,0.0,1.0,0.66,1.0,0.1
xg_boost,117.95681200700614,0.896332582909202,300,0.01,6,3,0.0,1.0,0.66,1.0,1.0
xg_boost,117.8329081153286,0.8964414769713521,300,0.01,6,3,0.0,1.0,1.0,0.01,0.0
xg_boost,117.59044675023875,0.8966545663473322,300,0.01,6,3,0.0,1.0,1.0,0.01,0.1
xg_boost,117.5850802730699,0.896659282724602,300,0.01,6,3,0.0,1.0,1.0,0.01,1.0
xg_boost,117.57424027041274,0.8966688095595309,300,0.01,6,3,0.0,1.0,1.0,0.1,0.0
xg_boost,117.4201850603003,0.8968042023821242,300,0.01,6,3,0.0,1.0,1.0,0.1,0.1
xg_boost,117.89415178056042,0.8963876524191305,300,0.01,6,3,0.0,1.0,1.0,0.1,1.0
xg_boost,118.35136920671006,0.8959858227256066,300,0.01,6,3,0.0,1.0,1.0,1.0,0.0
xg_boost,118.74298805018742,0.8956416449431063,300,0.01,6,3,0.0,1.0,1.0,1.0,0.1
xg_boost,118.5733999365766,0.8957906889992163,300,0.01,6,3,0.0,1.0,1.0,1.0,1.0
xg_boost,118.0530430708957,0.8962480093634475,300,0.01,6,3,0.5,0.66,0.66,0.01,0.0
xg_boost,118.11197403806284,0.896196217346955,300,0.01,6,3,0.5,0.66,0.66,0.01,0.1
xg_boost,117.9926661895563,0.8963010721347615,300,0.01,6,3,0.5,0.66,0.66,0.01,1.0
xg_boost,118.13006739744772,0.8961803158334941,300,0.01,6,3,0.5,0.66,0.66,0.1,0.0
xg_boost,118.29451003731003,0.8960357939237878,300,0.01,6,3,0.5,0.66,0.66,0.1,0.1
xg_boost,117.97424632719972,0.8963172605983287,300,0.01,6,3,0.5,0.66,0.66,0.1,1.0
xg_boost,118.75137884252482,0.8956342706189433,300,0.01,6,3,0.5,0.66,0.66,1.0,0.0
xg_boost,118.87061659038451,0.8955294774397279,300,0.01,6,3,0.5,0.66,0.66,1.0,0.1
xg_boost,118.79801243661954,0.8955932862606244,300,0.01,6,3,0.5,0.66,0.66,1.0,1.0
xg_boost,116.05041358887836,0.8980080384983337,300,0.01,6,3,0.5,0.66,1.0,0.01,0.0
xg_boost,116.27083084186695,0.8978143227907727,300,0.01,6,3,0.5,0.66,1.0,0.01,0.1
xg_boost,116.0924244479404,0.8979711168727436,300,0.01,6,3,0.5,0.66,1.0,0.01,1.0
xg_boost,116.35289138370022,0.8977422031372132,300,0.01,6,3,0.5,0.66,1.0,0.1,0.0
xg_boost,116.38354490226702,0.8977152630136164,300,0.01,6,3,0.5,0.66,1.0,0.1,0.1
xg_boost,116.18333566794846,0.8978912187201702,300,0.01,6,3,0.5,0.66,1.0,0.1,1.0
xg_boost,116.72584493889774,0.8974144295130849,300,0.01,6,3,0.5,0.66,1.0,1.0,0.0
xg_boost,116.310558554341,0.8977794077293275,300,0.01,6,3,0.5,0.66,1.0,1.0,0.1
xg_boost,116.7049138154892,0.8974328250212684,300,0.01,6,3,0.5,0.66,1.0,1.0,1.0
xg_boost,117.29235862333456,0.8969165438088776,300,0.01,6,3,0.5,1.0,0.66,0.01,0.0
xg_boost,117.29254424184089,0.8969163806763651,300,0.01,6,3,0.5,1.0,0.66,0.01,0.1
xg_boost,117.20286223957169,0.8969951985197485,300,0.01,6,3,0.5,1.0,0.66,0.01,1.0
xg_boost,117.13323898278212,0.8970563875522259,300,0.01,6,3,0.5,1.0,0.66,0.1,0.0
xg_boost,117.35918101273056,0.8968578163441839,300,0.01,6,3,0.5,1.0,0.66,0.1,0.1
xg_boost,117.10490483195264,0.8970812892783914,300,0.01,6,3,0.5,1.0,0.66,0.1,1.0
